1536
(0.187500, 0.312500, 1.063036) (0.125000, 0.312500, 1.063036) (0.000000, 0.000000) 
(0.187500, 0.375000, 0.874520) (0.125000, 0.312500, 0.874520) (0.000000, 0.000000) 
(0.125000, 0.375000, 0.827759) (0.125000, 0.375000, 0.827759) (0.000000, 0.000000) 
(0.187500, 0.375000, 0.874520) (0.125000, 0.375000, 0.874520) (0.000000, 0.000000) 
(0.125000, 0.437500, 0.659826) (0.125000, 0.375000, 0.659826) (0.000000, 0.000000) 
(0.125000, 0.437500, 0.659826) (0.125000, 0.375000, 0.659826) (0.000000, 0.000000) 
(0.187500, 0.375000, 0.874520) (0.125000, 0.375000, 0.874520) (0.000000, 0.000000) 
(0.187500, 0.437500, 0.681701) (0.125000, 0.375000, 0.681701) (0.000000, 0.000000) 
(0.125000, 0.437500, 0.659826) (0.125000, 0.437500, 0.659826) (0.000000, 0.000000) 
(0.187500, 0.437500, 0.681701) (0.125000, 0.437500, 0.681701) (0.000000, 0.000000) 
(0.125000, 0.500000, 0.524491) (0.125000, 0.437500, 0.524491) (0.000000, 0.000000) 
(0.125000, 0.500000, 0.524491) (0.125000, 0.437500, 0.524491) (0.000000, 0.000000) 
(0.187500, 0.437500, 0.681701) (0.125000, 0.437500, 0.681701) (0.000000, 0.000000) 
(0.187500, 0.500000, 0.527069) (0.125000, 0.437500, 0.527069) (0.000000, 0.000000) 
(0.125000, 0.500000, 0.524491) (0.125000, 0.500000, 0.524491) (0.000000, 0.000000) 
(0.187500, 0.500000, 0.527069) (0.125000, 0.500000, 0.527069) (0.000000, 0.000000) 
(0.125000, 0.562500, 0.432442) (0.125000, 0.500000, 0.432442) (0.000000, 0.000000) 
(0.125000, 0.562500, 0.432442) (0.125000, 0.500000, 0.432442) (0.000000, 0.000000) 
(0.187500, 0.500000, 0.527069) (0.125000, 0.500000, 0.527069) (0.000000, 0.000000) 
(0.187500, 0.562500, 0.423281) (0.125000, 0.500000, 0.423281) (0.000000, 0.000000) 
(0.125000, 0.562500, 0.432442) (0.125000, 0.562500, 0.432442) (0.000000, 0.000000) 
(0.187500, 0.562500, 0.423281) (0.125000, 0.562500, 0.423281) (0.000000, 0.000000) 
(0.125000, 0.625000, 0.375823) (0.125000, 0.562500, 0.375823) (0.000000, 0.000000) 
(0.125000, 0.625000, 0.375823) (0.125000, 0.562500, 0.375823) (0.000000, 0.000000) 
